10	0
20	0
30	0
40	0
50	0
60	0
70	0
80	0
90	0
100	0
110	0
120	0
130	0
141	0
152	0
164	0
176	0
189	0
202	0
216	0
230	15.6285
245	0
260	0
276	0
292	15.6302
309	0
326	0
344	15.6228
362	15.6297
381	0
400	0
420	15.6205
440	15.6239
460	0
481	15.6245
502	15.6251
524	0
546	0
569	15.6285
592	15.621
616	15.6274
640	15.6376
665	15.6227
690	0
716	15.6234
742	15.6336
769	15.6217
796	15.6302
824	15.6188
852	15.5874
881	31.2587
910	15.6234
940	31.2519
970	31.2512
1001	31.2501
1032	31.2415
1064	31.2502
1096	46.8791
1129	31.2485
1162	31.2336
1196	46.8786
1230	46.8757
1265	46.8746
1300	46.8894
1336	46.8803
1372	62.5082
1409	62.4952
1446	78.1218
1484	62.5157
1522	62.5003
1561	78.1253
1600	78.1288
1640	78.1259
1680	93.7537
1720	78.1298
1761	93.7566
1802	93.7498
1844	109.3766
1886	109.38
1929	125.0153
1972	124.9971
2016	124.9925
2060	125.0074
2105	140.6307
2150	125.0079
2196	140.6238
2242	156.2564
2289	156.2591
2336	171.8831
2384	187.5104
2432	171.9059
2481	187.4751
2530	187.5047
2580	187.5064
2630	218.7594
2681	218.7577
2732	250.0096
2784	234.3896
2836	250.0096
2889	265.634
2942	265.6392
2996	265.6352
3050	296.8722
3105	296.8938
3160	312.4916
3216	312.5115
3272	328.1292
3329	359.3935
3386	343.7611
3444	359.4163
3502	375.0129
3561	390.6391
3620	390.6448
3680	421.8921
3740	437.5171
3801	437.5183
3862	453.1416
3924	468.7798
3986	500.0099
4049	515.6573
4112	531.2606
4176	546.9017
4240	546.8925
4305	578.1387
4370	609.3991
4436	578.1245
4502	640.6606
4569	656.2663
4636	656.2725
4704	671.9022
4772	687.5028
4841	718.8036
4910	734.4076
4980	765.6531
5050	781.281
5121	843.7921
5192	812.5328
5264	859.4297
5336	875.0205
5409	859.4104
5482	906.2838
5556	921.8667
5630	968.7835
5705	984.3898
5780	1046.922
