10	0
20	0
30	0
40	0
50	0
60	0
70	0
80	0
90	0
100	0
110	0
121	0
133	0
146	0
160	0
176	0
193	0
212	0
233	0
256	0
281	0
309	0
339	0
372	0
409	0
449	15.6057
493	0
542	0
596	0
655	0
720	0
792	0
871	15.6251
958	0
1053	0
1158	0
1273	0
1400	0
1540	0
1694	0
1863	0
2049	0
2253	0
2478	15.6382
2725	0
2997	0
3296	0
3625	0
3987	0
4385	15.6279
4823	0
5305	0
5835	15.6478
6418	0
7059	15.6302
7764	0
8540	0
9394	15.6274
10333	15.6284
11366	15.6234
12502	15.6291
13752	15.608
15127	15.6222
16639	31.253
18302	15.625
20132	15.6348
22145	31.2427
24359	31.2547
26794	15.6176
29473	15.6217
32420	31.2541
35662	46.8911
39228	31.2393
43150	31.2524
47465	46.8746
52211	46.8741
57432	62.5048
63175	78.1293
69492	78.1264
76441	93.7447
84085	93.7498
92493	93.751
101742	109.3783
111916	140.629
123107	140.6273
135417	156.246
148958	156.2489
163853	187.5001
180238	203.131
198261	234.3799
218087	265.6249
239895	281.2597
263884	312.508
290272	343.7657
319299	375.014
351228	406.2574
386350	468.7382
424985	515.6436
467483	609.3951
514231	625.019
565654	828.1596
622219	812.5614
684440	921.9101
752884	1656.35
