..........AI : 4.811 s, Game : 1.424 s
Episode 060 avg. reward = -0.700, Long-term avg. reward = -0.785
..........AI : 4.231 s, Game : 1.366 s
Episode 061 avg. reward = -0.700, Long-term avg. reward = -0.784
..........AI : 6.517 s, Game : 1.904 s
Episode 062 avg. reward = -0.300, Long-term avg. reward = -0.779
..........AI : 5.133 s, Game : 1.689 s
Episode 063 avg. reward = -0.500, Long-term avg. reward = -0.776
..........AI : 6.693 s, Game : 2.135 s
Episode 064 avg. reward = -0.200, Long-term avg. reward = -0.770
..........AI : 3.760 s, Game : 1.201 s
Episode 065 avg. reward = -0.800, Long-term avg. reward = -0.771
..........AI : 5.497 s, Game : 1.660 s
Episode 066 avg. reward = -0.500, Long-term avg. reward = -0.768
..........AI : 3.782 s, Game : 1.084 s
Episode 067 avg. reward = -0.900, Long-term avg. reward = -0.769
..........AI : 3.377 s, Game : 1.015 s
Episode 068 avg. reward = -0.900, Long-term avg. reward = -0.771
..........AI : 4.776 s, Game : 1.524 s
Episode 069 avg. reward = -0.500, Long-term avg. reward = -0.768
..........AI : 5.861 s, Game : 1.787 s
Episode 070 avg. reward = -0.500, Long-term avg. reward = -0.765
..........AI : 4.332 s, Game : 1.377 s
Episode 071 avg. reward = -0.700, Long-term avg. reward = -0.765
..........AI : 4.760 s, Game : 1.512 s
Episode 072 avg. reward = -0.600, Long-term avg. reward = -0.763
..........AI : 4.068 s, Game : 1.063 s
Episode 073 avg. reward = -0.900, Long-term avg. reward = -0.764
..........AI : 3.307 s, Game : 1.061 s
Episode 074 avg. reward = -0.900, Long-term avg. reward = -0.766
..........AI : 4.233 s, Game : 1.282 s
Episode 075 avg. reward = -0.800, Long-term avg. reward = -0.766
..........AI : 5.200 s, Game : 1.717 s
Episode 076 avg. reward = -0.500, Long-term avg. reward = -0.763
..........AI : 5.300 s, Game : 1.701 s
Episode 077 avg. reward = -0.500, Long-term avg. reward = -0.761
..........AI : 5.315 s, Game : 1.532 s
Episode 078 avg. reward = -0.600, Long-term avg. reward = -0.759
..........AI : 5.525 s, Game : 1.759 s
Episode 079 avg. reward = -0.400, Long-term avg. reward = -0.756
..........AI : 6.152 s, Game : 1.720 s
Episode 080 avg. reward = -0.500, Long-term avg. reward = -0.753
..........AI : 4.336 s, Game : 1.307 s
Episode 081 avg. reward = -0.700, Long-term avg. reward = -0.752
..........AI : 3.784 s, Game : 1.140 s
Episode 082 avg. reward = -0.900, Long-term avg. reward = -0.754
..........AI : 5.665 s, Game : 1.731 s
Episode 083 avg. reward = -0.500, Long-term avg. reward = -0.751
..........AI : 4.681 s, Game : 1.267 s
Episode 084 avg. reward = -0.800, Long-term avg. reward = -0.752
..........AI : 6.114 s, Game : 1.804 s
Episode 085 avg. reward = -0.400, Long-term avg. reward = -0.748
..........AI : 4.219 s, Game : 1.003 s
Episode 086 avg. reward = -0.900, Long-term avg. reward = -0.750
..........AI : 4.828 s, Game : 1.499 s
Episode 087 avg. reward = -0.600, Long-term avg. reward = -0.748
..........AI : 4.381 s, Game : 1.376 s
Episode 088 avg. reward = -0.700, Long-term avg. reward = -0.748
