..........AI : 140.394 s, Game : 37.670 s
Episode 001 avg. reward = 28.000, Long-term avg. reward = 28.000
..........AI : 68.099 s, Game : 18.923 s
Episode 002 avg. reward = 12.000, Long-term avg. reward = 27.840
..........AI : 30.384 s, Game : 9.313 s
Episode 003 avg. reward = 5.200, Long-term avg. reward = 27.614
..........AI : 63.979 s, Game : 19.382 s
Episode 004 avg. reward = 14.100, Long-term avg. reward = 27.478
..........AI : 89.998 s, Game : 26.864 s
Episode 005 avg. reward = 19.600, Long-term avg. reward = 27.400
..........AI : 90.086 s, Game : 27.031 s
Episode 006 avg. reward = 20.000, Long-term avg. reward = 27.326
..........AI : 54.620 s, Game : 16.653 s
Episode 007 avg. reward = 11.500, Long-term avg. reward = 27.167
..........AI : 83.286 s, Game : 24.841 s
Episode 008 avg. reward = 17.800, Long-term avg. reward = 27.074
..........AI : 67.176 s, Game : 20.293 s
Episode 009 avg. reward = 13.700, Long-term avg. reward = 26.940
..........AI : 60.603 s, Game : 18.602 s
Episode 010 avg. reward = 13.200, Long-term avg. reward = 26.803
..........AI : 97.971 s, Game : 29.639 s
Episode 011 avg. reward = 22.400, Long-term avg. reward = 26.759
..........AI : 102.158 s, Game : 30.797 s
Episode 012 avg. reward = 22.600, Long-term avg. reward = 26.717
..........AI : 52.636 s, Game : 16.893 s
Episode 013 avg. reward = 10.600, Long-term avg. reward = 26.556
..........AI : 109.693 s, Game : 33.012 s
Episode 014 avg. reward = 25.200, Long-term avg. reward = 26.542
..........AI : 73.220 s, Game : 22.324 s
Episode 015 avg. reward = 15.300, Long-term avg. reward = 26.430
..........AI : 79.198 s, Game : 24.247 s
Episode 016 avg. reward = 18.100, Long-term avg. reward = 26.347
..........AI : 73.988 s, Game : 23.899 s
Episode 017 avg. reward = 15.900, Long-term avg. reward = 26.242
..........AI : 37.948 s, Game : 11.701 s
Episode 018 avg. reward = 7.500, Long-term avg. reward = 26.055
..........AI : 127.166 s, Game : 37.975 s
Episode 019 avg. reward = 29.100, Long-term avg. reward = 26.085
..........AI : 118.697 s, Game : 35.982 s
Episode 020 avg. reward = 27.500, Long-term avg. reward = 26.099
..........AI : 40.253 s, Game : 12.248 s
Episode 021 avg. reward = 7.500, Long-term avg. reward = 25.913
..........AI : 95.164 s, Game : 27.773 s
Episode 022 avg. reward = 20.800, Long-term avg. reward = 25.862
..........AI : 24.576 s, Game : 7.585 s
Episode 023 avg. reward = 3.600, Long-term avg. reward = 25.640
..........AI : 105.240 s, Game : 31.704 s
Episode 024 avg. reward = 24.000, Long-term avg. reward = 25.623
..........AI : 128.164 s, Game : 37.574 s
Episode 025 avg. reward = 29.200, Long-term avg. reward = 25.659
..........AI : 111.968 s, Game : 34.299 s
Episode 026 avg. reward = 23.500, Long-term avg. reward = 25.637
..........AI : 114.425 s, Game : 33.861 s
Episode 027 avg. reward = 25.000, Long-term avg. reward = 25.631
..........AI : 87.718 s, Game : 26.221 s
Episode 028 avg. reward = 19.100, Long-term avg. reward = 25.566
..........AI : 24.769 s, Game : 7.789 s
Episode 029 avg. reward = 3.800, Long-term avg. reward = 25.348
..........AI : 78.903 s, Game : 23.916 s
Episode 030 avg. reward = 16.800, Long-term avg. reward = 25.262
..........AI : 69.668 s, Game : 21.086 s
Episode 031 avg. reward = 15.600, Long-term avg. reward = 25.166
..........AI : 120.267 s, Game : 36.129 s
Episode 032 avg. reward = 27.300, Long-term avg. reward = 25.187
..........AI : 149.615 s, Game : 44.486 s
Episode 033 avg. reward = 34.200, Long-term avg. reward = 25.277
..........AI : 112.671 s, Game : 32.726 s
Episode 034 avg. reward = 25.100, Long-term avg. reward = 25.276
..........AI : 95.828 s, Game : 28.561 s
Episode 035 avg. reward = 22.000, Long-term avg. reward = 25.243
..........AI : 107.378 s, Game : 32.116 s
Episode 036 avg. reward = 24.200, Long-term avg. reward = 25.232
..........AI : 90.015 s, Game : 27.375 s
Episode 037 avg. reward = 19.300, Long-term avg. reward = 25.173
..........AI : 82.421 s, Game : 24.640 s
Episode 038 avg. reward = 17.900, Long-term avg. reward = 25.100
..........AI : 95.588 s, Game : 28.525 s
Episode 039 avg. reward = 21.500, Long-term avg. reward = 25.064
..........AI : 107.180 s, Game : 32.035 s
Episode 040 avg. reward = 24.100, Long-term avg. reward = 25.055
..........AI : 179.786 s, Game : 52.602 s
Episode 041 avg. reward = 40.900, Long-term avg. reward = 25.213
..........AI : 75.859 s, Game : 22.774 s
Episode 042 avg. reward = 15.900, Long-term avg. reward = 25.120
..........AI : 115.351 s, Game : 34.369 s
Episode 043 avg. reward = 26.500, Long-term avg. reward = 25.134
..........AI : 157.500 s, Game : 46.318 s
Episode 044 avg. reward = 35.500, Long-term avg. reward = 25.237
..........AI : 238.172 s, Game : 63.199 s
Episode 045 avg. reward = 50.300, Long-term avg. reward = 25.488
..........AI : 115.981 s, Game : 34.266 s
Episode 046 avg. reward = 26.300, Long-term avg. reward = 25.496
..........AI : 52.327 s, Game : 15.826 s
Episode 047 avg. reward = 10.800, Long-term avg. reward = 25.349
..........AI : 102.345 s, Game : 30.382 s
Episode 048 avg. reward = 23.400, Long-term avg. reward = 25.330
..........AI : 115.376 s, Game : 33.799 s
Episode 049 avg. reward = 26.600, Long-term avg. reward = 25.342
..........AI : 74.086 s, Game : 22.038 s
Episode 050 avg. reward = 16.200, Long-term avg. reward = 25.251
..........AI : 92.805 s, Game : 27.660 s
Episode 051 avg. reward = 20.600, Long-term avg. reward = 25.205
..........AI : 136.049 s, Game : 40.696 s
Episode 052 avg. reward = 31.900, Long-term avg. reward = 25.271
..........AI : 58.242 s, Game : 17.342 s
Episode 053 avg. reward = 12.000, Long-term avg. reward = 25.139
..........AI : 105.760 s, Game : 30.920 s
Episode 054 avg. reward = 23.400, Long-term avg. reward = 25.121
..........AI : 51.805 s, Game : 15.774 s
Episode 055 avg. reward = 9.900, Long-term avg. reward = 24.969
..........AI : 39.436 s, Game : 11.880 s
Episode 056 avg. reward = 7.500, Long-term avg. reward = 24.794
..........AI : 71.389 s, Game : 21.471 s
Episode 057 avg. reward = 15.700, Long-term avg. reward = 24.704
..........AI : 90.319 s, Game : 27.132 s
Episode 058 avg. reward = 20.200, Long-term avg. reward = 24.658
..........AI : 111.598 s, Game : 34.224 s
Episode 059 avg. reward = 25.200, Long-term avg. reward = 24.664
..........AI : 77.895 s, Game : 23.665 s
Episode 060 avg. reward = 16.800, Long-term avg. reward = 24.585
..........AI : 110.101 s, Game : 32.947 s
Episode 061 avg. reward = 24.700, Long-term avg. reward = 24.586
..........AI : 131.027 s, Game : 38.559 s
Episode 062 avg. reward = 30.800, Long-term avg. reward = 24.649
