..........AI : 243.221 s, Game : 71.545 s
Episode 001 avg. reward = 50.700, Long-term avg. reward = 50.700
..........AI : 122.124 s, Game : 36.940 s
Episode 002 avg. reward = 25.100, Long-term avg. reward = 50.444
..........AI : 107.091 s, Game : 33.076 s
Episode 003 avg. reward = 21.800, Long-term avg. reward = 50.158
..........AI : 147.415 s, Game : 44.515 s
Episode 004 avg. reward = 30.700, Long-term avg. reward = 49.963
..........AI : 25.841 s, Game : 7.443 s
Episode 005 avg. reward = 3.600, Long-term avg. reward = 49.499
..........AI : 166.566 s, Game : 50.883 s
Episode 006 avg. reward = 35.000, Long-term avg. reward = 49.354
..........AI : 43.318 s, Game : 12.988 s
Episode 007 avg. reward = 7.800, Long-term avg. reward = 48.939
..........AI : 282.436 s, Game : 87.132 s
Episode 008 avg. reward = 62.100, Long-term avg. reward = 49.070
..........AI : 31.660 s, Game : 9.377 s
Episode 009 avg. reward = 5.200, Long-term avg. reward = 48.632
..........AI : 32.846 s, Game : 9.731 s
Episode 010 avg. reward = 5.300, Long-term avg. reward = 48.198
..........AI : 174.989 s, Game : 54.057 s
Episode 011 avg. reward = 37.200, Long-term avg. reward = 48.088
..........AI : 229.056 s, Game : 71.406 s
Episode 012 avg. reward = 50.300, Long-term avg. reward = 48.111
..........AI : 307.033 s, Game : 93.096 s
Episode 013 avg. reward = 66.500, Long-term avg. reward = 48.294
..........AI : 149.059 s, Game : 46.025 s
Episode 014 avg. reward = 32.100, Long-term avg. reward = 48.132
..........AI : 161.939 s, Game : 48.961 s
Episode 015 avg. reward = 33.800, Long-term avg. reward = 47.989
..........AI : 211.309 s, Game : 65.330 s
Episode 016 avg. reward = 46.200, Long-term avg. reward = 47.971
..........AI : 122.459 s, Game : 37.851 s
Episode 017 avg. reward = 25.500, Long-term avg. reward = 47.747
..........AI : 25.732 s, Game : 7.556 s
Episode 018 avg. reward = 3.700, Long-term avg. reward = 47.306
..........AI : 54.023 s, Game : 16.611 s
Episode 019 avg. reward = 10.400, Long-term avg. reward = 46.937
..........AI : 79.166 s, Game : 24.773 s
Episode 020 avg. reward = 16.400, Long-term avg. reward = 46.632
..........AI : 219.912 s, Game : 68.078 s
