..........AI : 6.701 s, Game : 1.137 s
..........AI : 4.732 s, Game : 1.509 s
Episode 057 avg. reward = -0.600, Long-term avg. reward = -0.783
..........AI : 3.570 s, Game : 1.011 s
Episode 058 avg. reward = -0.900, Long-term avg. reward = -0.784
..........AI : 2.915 s, Game : 0.942 s
Episode 059 avg. reward = -0.900, Long-term avg. reward = -0.786
..........AI : 4.811 s, Game : 1.424 s
Episode 060 avg. reward = -0.700, Long-term avg. reward = -0.785
..........AI : 4.231 s, Game : 1.366 s
Episode 061 avg. reward = -0.700, Long-term avg. reward = -0.784
..........AI : 6.517 s, Game : 1.904 s
Episode 062 avg. reward = -0.300, Long-term avg. reward = -0.779
..........AI : 5.133 s, Game : 1.689 s
Episode 063 avg. reward = -0.500, Long-term avg. reward = -0.776
..........AI : 6.693 s, Game : 2.135 s
Episode 064 avg. reward = -0.200, Long-term avg. reward = -0.770
..........AI : 3.760 s, Game : 1.201 s
Episode 065 avg. reward = -0.800, Long-term avg. reward = -0.771
..........AI : 5.497 s, Game : 1.660 s
Episode 066 avg. reward = -0.500, Long-term avg. reward = -0.768
..........AI : 3.782 s, Game : 1.084 s
Episode 067 avg. reward = -0.900, Long-term avg. reward = -0.769
..........AI : 3.377 s, Game : 1.015 s
Episode 068 avg. reward = -0.900, Long-term avg. reward = -0.771
..........AI : 4.776 s, Game : 1.524 s
Episode 069 avg. reward = -0.500, Long-term avg. reward = -0.768
..........AI : 5.861 s, Game : 1.787 s
Episode 070 avg. reward = -0.500, Long-term avg. reward = -0.765
..........AI : 4.332 s, Game : 1.377 s
Episode 071 avg. reward = -0.700, Long-term avg. reward = -0.765
..........AI : 4.760 s, Game : 1.512 s
Episode 072 avg. reward = -0.600, Long-term avg. reward = -0.763
..........AI : 4.068 s, Game : 1.063 s
Episode 073 avg. reward = -0.900, Long-term avg. reward = -0.764
..........AI : 3.307 s, Game : 1.061 s
Episode 074 avg. reward = -0.900, Long-term avg. reward = -0.766
..........AI : 4.233 s, Game : 1.282 s
Episode 075 avg. reward = -0.800, Long-term avg. reward = -0.766
..........AI : 5.200 s, Game : 1.717 s
Episode 076 avg. reward = -0.500, Long-term avg. reward = -0.763
..........AI : 5.300 s, Game : 1.701 s
Episode 077 avg. reward = -0.500, Long-term avg. reward = -0.761
..........AI : 5.315 s, Game : 1.532 s
Episode 078 avg. reward = -0.600, Long-term avg. reward = -0.759
..........AI : 5.525 s, Game : 1.759 s
Episode 079 avg. reward = -0.400, Long-term avg. reward = -0.756
..........AI : 6.152 s, Game : 1.720 s
Episode 080 avg. reward = -0.500, Long-term avg. reward = -0.753
..........AI : 4.336 s, Game : 1.307 s
Episode 081 avg. reward = -0.700, Long-term avg. reward = -0.752
..........AI : 3.784 s, Game : 1.140 s
Episode 082 avg. reward = -0.900, Long-term avg. reward = -0.754
..........AI : 5.665 s, Game : 1.731 s
Episode 083 avg. reward = -0.500, Long-term avg. reward = -0.751
..........AI : 4.681 s, Game : 1.267 s
Episode 084 avg. reward = -0.800, Long-term avg. reward = -0.752
..........AI : 6.114 s, Game : 1.804 s
Episode 085 avg. reward = -0.400, Long-term avg. reward = -0.748
..........AI : 4.219 s, Game : 1.003 s
Episode 086 avg. reward = -0.900, Long-term avg. reward = -0.750
..........AI : 4.828 s, Game : 1.499 s
Episode 087 avg. reward = -0.600, Long-term avg. reward = -0.748
..........AI : 4.381 s, Game : 1.376 s
Episode 088 avg. reward = -0.700, Long-term avg. reward = -0.748
..........AI : 4.832 s, Game : 1.442 s
Episode 089 avg. reward = -0.700, Long-term avg. reward = -0.747
..........AI : 8.090 s, Game : 2.524 s
Episode 090 avg. reward = 0.000, Long-term avg. reward = -0.740
..........AI : 5.723 s, Game : 1.694 s
Episode 091 avg. reward = -0.400, Long-term avg. reward = -0.737
..........AI : 6.720 s, Game : 2.171 s
Episode 092 avg. reward = -0.100, Long-term avg. reward = -0.730
..........AI : 4.005 s, Game : 1.247 s
Episode 093 avg. reward = -0.700, Long-term avg. reward = -0.730
..........AI : 6.537 s, Game : 1.921 s
Episode 094 avg. reward = -0.200, Long-term avg. reward = -0.725
..........AI : 5.273 s, Game : 1.577 s
Episode 095 avg. reward = -0.500, Long-term avg. reward = -0.722
..........AI : 7.203 s, Game : 2.352 s
Episode 096 avg. reward = 0.000, Long-term avg. reward = -0.715
..........AI : 5.076 s, Game : 1.516 s
Episode 097 avg. reward = -0.600, Long-term avg. reward = -0.714
..........AI : 4.353 s, Game : 1.368 s
Episode 098 avg. reward = -0.700, Long-term avg. reward = -0.714
..........AI : 4.742 s, Game : 1.340 s
Episode 099 avg. reward = -0.700, Long-term avg. reward = -0.714
..........AI : 4.938 s, Game : 1.587 s
Episode 100 avg. reward = -0.500, Long-term avg. reward = -0.712
..........AI : 3.662 s, Game : 1.177 s
Episode 101 avg. reward = -0.800, Long-term avg. reward = -0.712
..........AI : 4.643 s, Game : 1.398 s
Episode 102 avg. reward = -0.600, Long-term avg. reward = -0.711
..........AI : 5.362 s, Game : 1.687 s
Episode 103 avg. reward = -0.500, Long-term avg. reward = -0.709
..........AI : 4.920 s, Game : 1.517 s
Episode 104 avg. reward = -0.600, Long-term avg. reward = -0.708
..........AI : 4.590 s, Game : 1.364 s
Episode 105 avg. reward = -0.600, Long-term avg. reward = -0.707
..........AI : 5.935 s, Game : 1.718 s
Episode 106 avg. reward = -0.400, Long-term avg. reward = -0.704
..........AI : 7.505 s, Game : 1.896 s
Episode 107 avg. reward = -0.300, Long-term avg. reward = -0.700
..........AI : 5.686 s, Game : 1.707 s
Episode 108 avg. reward = -0.500, Long-term avg. reward = -0.698
..........AI : 7.072 s, Game : 2.266 s
Episode 109 avg. reward = 0.000, Long-term avg. reward = -0.691
..........AI : 3.014 s, Game : 0.905 s
Episode 110 avg. reward = -1.000, Long-term avg. reward = -0.694
..........AI : 3.631 s, Game : 1.150 s
Episode 111 avg. reward = -0.800, Long-term avg. reward = -0.695
..........AI : 3.327 s, Game : 0.963 s
Episode 112 avg. reward = -0.900, Long-term avg. reward = -0.697
..........AI : 6.198 s, Game : 1.986 s
Episode 113 avg. reward = -0.300, Long-term avg. reward = -0.693
..........AI : 7.014 s, Game : 2.050 s
Episode 114 avg. reward = -0.200, Long-term avg. reward = -0.688
..........AI : 4.956 s, Game : 1.581 s
Episode 115 avg. reward = -0.500, Long-term avg. reward = -0.686
..........AI : 6.334 s, Game : 2.074 s
Episode 116 avg. reward = -0.100, Long-term avg. reward = -0.680
..........AI : 6.297 s, Game : 1.959 s
Episode 117 avg. reward = -0.200, Long-term avg. reward = -0.676
..........AI : 8.779 s, Game : 2.806 s
Episode 118 avg. reward = 0.300, Long-term avg. reward = -0.666
..........AI : 7.733 s, Game : 2.450 s
Episode 119 avg. reward = 0.000, Long-term avg. reward = -0.659
..........AI : 7.638 s, Game : 2.362 s
Episode 120 avg. reward = 0.000, Long-term avg. reward = -0.653
..........AI : 7.459 s, Game : 2.471 s
Episode 121 avg. reward = 0.100, Long-term avg. reward = -0.645
..........AI : 8.679 s, Game : 2.662 s
Episode 122 avg. reward = 0.100, Long-term avg. reward = -0.638
..........AI : 3.479 s, Game : 1.046 s
Episode 123 avg. reward = -0.900, Long-term avg. reward = -0.640
..........AI : 7.282 s, Game : 2.272 s
Episode 124 avg. reward = -0.100, Long-term avg. reward = -0.635
..........AI : 6.351 s, Game : 2.043 s
Episode 125 avg. reward = -0.200, Long-term avg. reward = -0.631
..........AI : 5.846 s, Game : 1.850 s
Episode 126 avg. reward = -0.400, Long-term avg. reward = -0.628
..........AI : 7.580 s, Game : 2.289 s
Episode 127 avg. reward = -0.100, Long-term avg. reward = -0.623
..........AI : 6.852 s, Game : 2.125 s
Episode 128 avg. reward = -0.100, Long-term avg. reward = -0.618
..........AI : 8.376 s, Game : 2.683 s
Episode 129 avg. reward = 0.200, Long-term avg. reward = -0.610
..........AI : 8.496 s, Game : 2.499 s
Episode 130 avg. reward = 0.000, Long-term avg. reward = -0.603
..........AI : 5.358 s, Game : 1.749 s
Episode 131 avg. reward = -0.400, Long-term avg. reward = -0.601
..........AI : 8.603 s, Game : 2.829 s
Episode 132 avg. reward = 0.400, Long-term avg. reward = -0.591
..........AI : 5.350 s, Game : 1.433 s
Episode 133 avg. reward = -0.600, Long-term avg. reward = -0.592
..........AI : 6.540 s, Game : 2.116 s
Episode 134 avg. reward = -0.200, Long-term avg. reward = -0.588
..........AI : 8.475 s, Game : 2.753 s
Episode 135 avg. reward = 0.200, Long-term avg. reward = -0.580
..........AI : 9.361 s, Game : 3.027 s
Episode 136 avg. reward = 0.400, Long-term avg. reward = -0.570
..........AI : 6.954 s, Game : 2.275 s
Episode 137 avg. reward = -0.200, Long-term avg. reward = -0.566
..........AI : 7.009 s, Game : 2.233 s
Episode 138 avg. reward = 0.000, Long-term avg. reward = -0.561
..........AI : 6.401 s, Game : 2.042 s
Episode 139 avg. reward = -0.200, Long-term avg. reward = -0.557
..........AI : 4.120 s, Game : 1.240 s
Episode 140 avg. reward = -0.700, Long-term avg. reward = -0.558
..........AI : 5.986 s, Game : 1.634 s
Episode 141 avg. reward = -0.600, Long-term avg. reward = -0.559
..........AI : 5.261 s, Game : 1.624 s
Episode 142 avg. reward = -0.500, Long-term avg. reward = -0.558
..........AI : 6.665 s, Game : 2.048 s
Episode 143 avg. reward = -0.200, Long-term avg. reward = -0.555
..........AI : 12.196 s, Game : 3.692 s
Episode 144 avg. reward = 0.800, Long-term avg. reward = -0.541
..........AI : 5.393 s, Game : 1.624 s
Episode 145 avg. reward = -0.500, Long-term avg. reward = -0.541
..........AI : 6.576 s, Game : 2.012 s
Episode 146 avg. reward = -0.200, Long-term avg. reward = -0.537
..........AI : 9.582 s, Game : 3.125 s
Episode 147 avg. reward = 0.500, Long-term avg. reward = -0.527
..........AI : 6.836 s, Game : 2.089 s
Episode 148 avg. reward = -0.200, Long-term avg. reward = -0.524
..........AI : 6.763 s, Game : 2.139 s
Episode 149 avg. reward = -0.200, Long-term avg. reward = -0.520
..........AI : 8.023 s, Game : 2.501 s
Episode 150 avg. reward = 0.100, Long-term avg. reward = -0.514
..........AI : 9.284 s, Game : 2.763 s
Episode 151 avg. reward = 0.300, Long-term avg. reward = -0.506
..........AI : 5.338 s, Game : 1.678 s
Episode 152 avg. reward = -0.400, Long-term avg. reward = -0.505
..........AI : 9.844 s, Game : 3.250 s
Episode 153 avg. reward = 0.500, Long-term avg. reward = -0.495
..........AI : 7.825 s, Game : 2.355 s
Episode 154 avg. reward = 0.000, Long-term avg. reward = -0.490
..........AI : 7.222 s, Game : 2.344 s
Episode 155 avg. reward = 0.000, Long-term avg. reward = -0.485
..........AI : 5.086 s, Game : 1.594 s
Episode 156 avg. reward = -0.400, Long-term avg. reward = -0.484
..........AI : 5.121 s, Game : 1.650 s
Episode 157 avg. reward = -0.600, Long-term avg. reward = -0.485
..........AI : 5.398 s, Game : 1.503 s
Episode 158 avg. reward = -0.700, Long-term avg. reward = -0.488
..........AI : 5.996 s, Game : 1.896 s
Episode 159 avg. reward = -0.400, Long-term avg. reward = -0.487
..........AI : 10.139 s, Game : 3.330 s
Episode 160 avg. reward = 0.700, Long-term avg. reward = -0.475
..........AI : 10.651 s, Game : 3.537 s
Episode 161 avg. reward = 0.700, Long-term avg. reward = -0.463
..........AI : 10.755 s, Game : 3.267 s
Episode 162 avg. reward = 0.700, Long-term avg. reward = -0.451
..........AI : 8.884 s, Game : 2.893 s
Episode 163 avg. reward = 0.200, Long-term avg. reward = -0.445
..........AI : 7.572 s, Game : 2.495 s
Episode 164 avg. reward = 0.200, Long-term avg. reward = -0.438
..........AI : 5.975 s, Game : 1.807 s
Episode 165 avg. reward = -0.400, Long-term avg. reward = -0.438
..........AI : 7.725 s, Game : 2.421 s
Episode 166 avg. reward = 0.100, Long-term avg. reward = -0.433
..........AI : 7.883 s, Game : 2.352 s
Episode 167 avg. reward = 0.000, Long-term avg. reward = -0.428
..........AI : 7.333 s, Game : 2.422 s
Episode 168 avg. reward = 0.000, Long-term avg. reward = -0.424
..........AI : 8.491 s, Game : 2.771 s
Episode 169 avg. reward = 0.300, Long-term avg. reward = -0.417
..........AI : 7.013 s, Game : 2.292 s
Episode 170 avg. reward = -0.100, Long-term avg. reward = -0.414
..........AI : 6.761 s, Game : 2.095 s
Episode 171 avg. reward = -0.200, Long-term avg. reward = -0.412
..........AI : 7.062 s, Game : 2.211 s
Episode 172 avg. reward = -0.100, Long-term avg. reward = -0.408
..........AI : 9.573 s, Game : 2.966 s
Episode 173 avg. reward = 0.400, Long-term avg. reward = -0.400
..........AI : 9.606 s, Game : 3.207 s
Episode 174 avg. reward = 0.500, Long-term avg. reward = -0.391
..........AI : 6.870 s, Game : 2.280 s
Episode 175 avg. reward = -0.100, Long-term avg. reward = -0.388
..........AI : 6.335 s, Game : 1.879 s
Episode 176 avg. reward = -0.300, Long-term avg. reward = -0.388
..........AI : 9.503 s, Game : 3.128 s
Episode 177 avg. reward = 0.500, Long-term avg. reward = -0.379
..........AI : 4.317 s, Game : 1.392 s
Episode 178 avg. reward = -0.700, Long-term avg. reward = -0.382
..........AI : 6.198 s, Game : 1.924 s
Episode 179 avg. reward = -0.200, Long-term avg. reward = -0.380
..........AI : 6.251 s, Game : 1.707 s
Episode 180 avg. reward = -0.400, Long-term avg. reward = -0.380
..........AI : 5.647 s, Game : 1.661 s
Episode 181 avg. reward = -0.500, Long-term avg. reward = -0.381
..........AI : 8.435 s, Game : 2.721 s
Episode 182 avg. reward = 0.200, Long-term avg. reward = -0.376
..........AI : 11.183 s, Game : 3.551 s
Episode 183 avg. reward = 0.800, Long-term avg. reward = -0.364
..........AI : 8.087 s, Game : 2.606 s
Episode 184 avg. reward = 0.200, Long-term avg. reward = -0.358
..........AI : 8.892 s, Game : 2.788 s
Episode 185 avg. reward = 0.200, Long-term avg. reward = -0.353
..........AI : 7.178 s, Game : 2.185 s
Episode 186 avg. reward = -0.100, Long-term avg. reward = -0.350
..........AI : 4.190 s, Game : 1.294 s
Episode 187 avg. reward = -0.700, Long-term avg. reward = -0.354
..........AI : 6.248 s, Game : 2.048 s
Episode 188 avg. reward = -0.200, Long-term avg. reward = -0.352
..........AI : 5.709 s, Game : 1.791 s
Episode 189 avg. reward = -0.300, Long-term avg. reward = -0.352
..........AI : 7.979 s, Game : 2.297 s
Episode 190 avg. reward = 0.000, Long-term avg. reward = -0.348
..........AI : 7.964 s, Game : 2.571 s
Episode 191 avg. reward = 0.100, Long-term avg. reward = -0.344
..........AI : 5.548 s, Game : 1.801 s
Episode 192 avg. reward = -0.400, Long-term avg. reward = -0.344
..........AI : 5.523 s, Game : 1.728 s
Episode 193 avg. reward = -0.400, Long-term avg. reward = -0.345
..........AI : 6.747 s, Game : 2.135 s
Episode 194 avg. reward = -0.100, Long-term avg. reward = -0.342
..........AI : 8.469 s, Game : 2.573 s
Episode 195 avg. reward = 0.100, Long-term avg. reward = -0.338
..........AI : 7.489 s, Game : 2.343 s
Episode 196 avg. reward = 0.000, Long-term avg. reward = -0.334
..........AI : 5.815 s, Game : 1.813 s
Episode 197 avg. reward = -0.300, Long-term avg. reward = -0.334
..........AI : 13.692 s, Game : 4.346 s
Episode 198 avg. reward = 1.300, Long-term avg. reward = -0.318
..........AI : 7.360 s, Game : 2.322 s
Episode 199 avg. reward = 0.000, Long-term avg. reward = -0.315
..........AI : 7.459 s, Game : 2.405 s
Episode 200 avg. reward = 0.100, Long-term avg. reward = -0.310
..........AI : 13.234 s, Game : 4.246 s
Episode 201 avg. reward = 1.200, Long-term avg. reward = -0.295
..........AI : 14.533 s, Game : 4.759 s
Episode 202 avg. reward = 1.500, Long-term avg. reward = -0.277
..........AI : 8.533 s, Game : 2.771 s
Episode 203 avg. reward = 0.200, Long-term avg. reward = -0.273
..........AI : 9.846 s, Game : 3.130 s
Episode 204 avg. reward = 0.500, Long-term avg. reward = -0.265
..........AI : 8.101 s, Game : 2.388 s
Episode 205 avg. reward = -0.100, Long-term avg. reward = -0.263
..........AI : 10.918 s, Game : 3.620 s
Episode 206 avg. reward = 0.800, Long-term avg. reward = -0.253
..........AI : 12.056 s, Game : 3.715 s
Episode 207 avg. reward = 0.900, Long-term avg. reward = -0.241
..........AI : 11.012 s, Game : 3.550 s
Episode 208 avg. reward = 0.800, Long-term avg. reward = -0.231
..........AI : 7.608 s, Game : 2.397 s
Episode 209 avg. reward = -0.100, Long-term avg. reward = -0.229
..........AI : 7.787 s, Game : 2.528 s
Episode 210 avg. reward = 0.100, Long-term avg. reward = -0.226
..........AI : 8.919 s, Game : 2.910 s
Episode 211 avg. reward = 0.300, Long-term avg. reward = -0.221
..........AI : 7.761 s, Game : 2.511 s
Episode 212 avg. reward = 0.100, Long-term avg. reward = -0.218
..........AI : 10.328 s, Game : 3.230 s
Episode 213 avg. reward = 0.600, Long-term avg. reward = -0.209
..........AI : 9.203 s, Game : 2.915 s
Episode 214 avg. reward = 0.300, Long-term avg. reward = -0.204
..........AI : 6.541 s, Game : 1.914 s
Episode 215 avg. reward = -0.200, Long-term avg. reward = -0.204
..........AI : 9.906 s, Game : 3.274 s
Episode 216 avg. reward = 0.500, Long-term avg. reward = -0.197
..........AI : 6.969 s, Game : 2.217 s
Episode 217 avg. reward = 0.000, Long-term avg. reward = -0.195
..........AI : 9.646 s, Game : 3.035 s
Episode 218 avg. reward = 0.500, Long-term avg. reward = -0.188
..........AI : 11.060 s, Game : 3.527 s
Episode 219 avg. reward = 0.800, Long-term avg. reward = -0.178
..........AI : 7.405 s, Game : 2.338 s
Episode 220 avg. reward = -0.100, Long-term avg. reward = -0.178
..........AI : 11.770 s, Game : 3.897 s
Episode 221 avg. reward = 1.100, Long-term avg. reward = -0.165
..........AI : 6.263 s, Game : 1.938 s
Episode 222 avg. reward = -0.200, Long-term avg. reward = -0.165
..........AI : 7.901 s, Game : 2.467 s
Episode 223 avg. reward = 0.000, Long-term avg. reward = -0.164
..........AI : 10.695 s, Game : 3.525 s
Episode 224 avg. reward = 0.700, Long-term avg. reward = -0.155
..........AI : 16.357 s, Game : 5.432 s
Episode 225 avg. reward = 2.000, Long-term avg. reward = -0.133
..........AI : 10.811 s, Game : 3.645 s
Episode 226 avg. reward = 0.800, Long-term avg. reward = -0.124
..........AI : 9.717 s, Game : 2.879 s
Episode 227 avg. reward = 0.300, Long-term avg. reward = -0.120
..........AI : 12.497 s, Game : 4.148 s
Episode 228 avg. reward = 1.200, Long-term avg. reward = -0.107
..........AI : 11.894 s, Game : 3.787 s
Episode 229 avg. reward = 1.000, Long-term avg. reward = -0.096
..........AI : 7.951 s, Game : 2.599 s
Episode 230 avg. reward = 0.100, Long-term avg. reward = -0.094
..........AI : 13.867 s, Game : 4.239 s
Episode 231 avg. reward = 1.300, Long-term avg. reward = -0.080
..........AI : 8.594 s, Game : 2.669 s
Episode 232 avg. reward = 0.200, Long-term avg. reward = -0.077
..........AI : 7.683 s, Game : 2.567 s
Episode 233 avg. reward = 0.100, Long-term avg. reward = -0.075
..........AI : 14.418 s, Game : 4.657 s
Episode 234 avg. reward = 1.500, Long-term avg. reward = -0.059
..........AI : 9.702 s, Game : 2.884 s
Episode 235 avg. reward = 0.400, Long-term avg. reward = -0.055
..........AI : 8.310 s, Game : 2.736 s
Episode 236 avg. reward = 0.300, Long-term avg. reward = -0.051
..........AI : 6.941 s, Game : 2.056 s
Episode 237 avg. reward = -0.200, Long-term avg. reward = -0.053
..........AI : 8.116 s, Game : 2.678 s
Episode 238 avg. reward = 0.200, Long-term avg. reward = -0.050
..........AI : 6.448 s, Game : 2.056 s
Episode 239 avg. reward = -0.200, Long-term avg. reward = -0.052
..........AI : 11.183 s, Game : 3.335 s
Episode 240 avg. reward = 0.600, Long-term avg. reward = -0.045
..........AI : 8.701 s, Game : 2.878 s
Episode 241 avg. reward = 0.300, Long-term avg. reward = -0.042
..........AI : 8.871 s, Game : 2.769 s
Episode 242 avg. reward = 0.300, Long-term avg. reward = -0.038
..........AI : 11.108 s, Game : 3.549 s
Episode 243 avg. reward = 0.700, Long-term avg. reward = -0.031
..........AI : 7.878 s, Game : 2.363 s
Episode 244 avg. reward = -0.100, Long-term avg. reward = -0.032
..........AI : 12.372 s, Game : 4.026 s
Episode 245 avg. reward = 1.100, Long-term avg. reward = -0.020
..........AI : 10.358 s, Game : 3.400 s
Episode 246 avg. reward = 0.700, Long-term avg. reward = -0.013
..........AI : 9.059 s, Game : 2.992 s
Episode 247 avg. reward = 0.300, Long-term avg. reward = -0.010
..........AI : 14.821 s, Game : 4.767 s
Episode 248 avg. reward = 1.500, Long-term avg. reward = 0.005
..........AI : 4.379 s, Game : 1.412 s
Episode 249 avg. reward = -0.700, Long-term avg. reward = -0.002
..........AI : 11.191 s, Game : 3.578 s
Episode 250 avg. reward = 0.900, Long-term avg. reward = 0.007
..........AI : 11.907 s, Game : 3.882 s
Episode 251 avg. reward = 1.100, Long-term avg. reward = 0.018
..........AI : 10.191 s, Game : 3.204 s
Episode 252 avg. reward = 0.600, Long-term avg. reward = 0.024
..........AI : 12.058 s, Game : 3.807 s
Episode 253 avg. reward = 1.000, Long-term avg. reward = 0.034
..........AI : 12.577 s, Game : 4.137 s
Episode 254 avg. reward = 1.200, Long-term avg. reward = 0.045
..........AI : 12.826 s, Game : 4.104 s
Episode 255 avg. reward = 1.200, Long-term avg. reward = 0.057
..........AI : 14.138 s, Game : 4.604 s
Episode 256 avg. reward = 1.500, Long-term avg. reward = 0.071
..........AI : 10.150 s, Game : 3.258 s
Episode 257 avg. reward = 0.500, Long-term avg. reward = 0.076
..........AI : 7.670 s, Game : 2.477 s
Episode 258 avg. reward = 0.100, Long-term avg. reward = 0.076
..........AI : 7.625 s, Game : 2.474 s
